"id","created_at","name","has_test","alternate_url"
"53409941","2022-03-05T10:40:25+0300","-",false,"https://hh.ru/vacancy/53409941"
"47357797","2022-03-05T10:50:13+0300","Senior",false,"https://hh.ru/vacancy/47357797"
"52475275","2022-03-05T12:37:32+0300","-",false,"https://hh.ru/vacancy/52475275"
"49423067","2022-03-05T12:37:57+0300","-",false,"https://hh.ru/vacancy/49423067"
"53421862","2022-03-05T14:49:36+0300","-",false,"https://hh.ru/vacancy/53421862"
"53281326","2022-03-05T16:32:50+0300","-",false,"https://hh.ru/vacancy/53281326"
"53427577","2022-03-05T17:29:20+0300","-",false,"https://hh.ru/vacancy/53427577"
"50138376","2022-03-05T18:39:01+0300","-",false,"https://hh.ru/vacancy/50138376"
"52264939","2022-03-05T21:11:19+0300","-",false,"https://hh.ru/vacancy/52264939"
"53039221","2022-03-05T22:25:16+0300","Junior",false,"https://hh.ru/vacancy/53039221"
"52505890","2022-03-05T22:49:02+0300","-",false,"https://hh.ru/vacancy/52505890"
